OrderNumber,OrderDate,ShipDate,CustomerID,EmployeeID,OrderTotal
298,30/10/2017,02/11/2017,1005,701,"7,484.00"
299,31/10/2017,04/11/2017,1021,704,402.95
300,31/10/2017,31/10/2017,1011,706,"15,969.50"
301,31/10/2017,04/11/2017,1025,704,"3,798.75"
302,31/10/2017,02/11/2017,1007,702,"5,880.15"
303,01/11/2017,04/11/2017,1011,705,"2,105.68"
304,01/11/2017,05/11/2017,1015,701,923.80
305,01/11/2017,05/11/2017,1013,708,0.00
306,01/11/2017,03/11/2017,1026,701,"4,940.58"
307,01/11/2017,02/11/2017,1013,704,"5,785.00"
308,01/11/2017,02/11/2017,1002,701,"5,441.88"
309,01/11/2017,04/11/2017,1020,707,"1,295.90"
310,01/11/2017,03/11/2017,1025,703,"13,709.90"
311,02/11/2017,04/11/2017,1003,708,"1,072.70"
312,02/11/2017,02/11/2017,1003,707,"1,019.54"
313,02/11/2017,02/11/2017,1024,701,"6,112.04"
314,02/11/2017,04/11/2017,1007,706,432.75
315,02/11/2017,06/11/2017,1024,702,"8,799.15"
316,02/11/2017,06/11/2017,1018,705,966.12
317,02/11/2017,02/11/2017,1012,703,"4,141.12"
318,02/11/2017,03/11/2017,1024,703,"3,695.70"
319,03/11/2017,04/11/2017,1005,701,"3,064.00"
320,03/11/2017,07/11/2017,1001,707,220.00
321,03/11/2017,05/11/2017,1011,701,"6,824.15"
322,03/11/2017,04/11/2017,1001,701,660.00
323,03/11/2017,05/11/2017,1011,706,"5,577.25"
324,03/11/2017,04/11/2017,1016,704,50.00
325,03/11/2017,04/11/2017,1002,706,"6,780.39"
326,03/11/2017,07/11/2017,1024,704,242.50
327,03/11/2017,03/11/2017,1012,703,"2,942.05"
328,03/11/2017,06/11/2017,1009,702,960.30
329,04/11/2017,06/11/2017,1004,708,"11,384.54"
330,04/11/2017,07/11/2017,1021,708,949.55
331,04/11/2017,06/11/2017,1018,702,"12,105.31"
332,05/11/2017,05/11/2017,1006,704,"4,831.00"
333,05/11/2017,07/11/2017,1003,708,"1,854.66"
334,05/11/2017,09/11/2017,1009,707,"4,173.33"
335,05/11/2017,06/11/2017,1020,703,"13,055.50"
336,06/11/2017,07/11/2017,1020,703,"15,047.75"
337,06/11/2017,07/11/2017,1011,706,"3,142.85"
338,06/11/2017,06/11/2017,1009,708,"8,173.25"
339,06/11/2017,10/11/2017,1005,705,"14,842.50"
340,06/11/2017,10/11/2017,1026,707,"4,020.55"
341,07/11/2017,08/11/2017,1022,704,81.00
342,08/11/2017,10/11/2017,1013,702,"4,589.50"
343,08/11/2017,11/11/2017,1025,708,"8,323.50"
344,08/11/2017,12/11/2017,1005,702,"7,060.28"
345,08/11/2017,11/11/2017,1008,701,"5,809.00"
346,08/11/2017,12/11/2017,1001,702,"1,253.70"
347,09/11/2017,09/11/2017,1020,705,"7,254.00"
348,09/11/2017,11/11/2017,1015,703,"1,724.07"
349,09/11/2017,10/11/2017,1001,703,725.80
350,09/11/2017,11/11/2017,1019,703,"3,079.75"
351,10/11/2017,14/11/2017,1012,704,"8,363.06"
352,10/11/2017,11/11/2017,1020,706,523.05
353,10/11/2017,14/11/2017,1026,704,"16,167.68"
354,11/11/2017,12/11/2017,1021,706,"5,003.45"
355,11/11/2017,12/11/2017,1014,702,"7,710.00"
356,11/11/2017,15/11/2017,1018,702,"2,189.00"
357,11/11/2017,13/11/2017,1003,705,"1,350.85"
358,11/11/2017,15/11/2017,1012,701,"11,468.80"
359,12/11/2017,13/11/2017,1024,707,"17,772.30"
360,12/11/2017,14/11/2017,1013,707,"17,692.85"
361,12/11/2017,13/11/2017,1016,706,0.00
362,12/11/2017,13/11/2017,1012,701,"16,241.60"
363,12/11/2017,13/11/2017,1010,706,"11,173.50"
364,12/11/2017,15/11/2017,1010,705,571.00
365,12/11/2017,13/11/2017,1011,705,267.30
366,12/11/2017,13/11/2017,1004,708,"9,126.31"
367,12/11/2017,12/11/2017,1011,703,"13,222.60"
368,13/11/2017,14/11/2017,1017,708,"5,277.24"
369,13/11/2017,14/11/2017,1003,707,108.00
370,13/11/2017,13/11/2017,1025,708,"2,951.65"
371,13/11/2017,16/12/2017,1009,701,816.74
372,13/11/2017,15/11/2017,1025,707,"9,125.21"
373,13/11/2017,16/11/2017,1014,701,"9,835.50"
374,13/11/2017,13/11/2017,1005,701,"6,428.24"
375,14/11/2017,16/11/2017,1004,704,"4,392.90"
376,14/11/2017,14/11/2017,1015,704,"1,715.49"
377,14/11/2017,18/11/2017,1019,705,"2,227.80"
378,14/11/2017,15/11/2017,1014,707,"8,562.73"
379,14/11/2017,18/11/2017,1025,706,"11,509.50"
380,14/11/2017,17/11/2017,1023,704,207.00
381,15/11/2017,17/11/2017,1012,701,"5,449.24"
382,16/11/2017,16/11/2017,1017,705,559.80
383,17/11/2017,20/11/2017,1017,702,"12,039.75"
384,17/11/2017,17/11/2017,1021,708,"3,248.75"
385,18/11/2017,21/11/2017,1019,701,"13,850.94"
386,18/11/2017,18/11/2017,1021,705,"8,210.88"
387,18/11/2017,22/12/2017,1010,708,"16,587.50"
388,18/11/2017,22/11/2017,1008,705,"4,654.98"
389,18/11/2017,21/11/2017,1005,706,"1,447.30"
390,18/11/2017,21/11/2017,1016,708,"13,641.50"
391,18/11/2017,18/11/2017,1024,702,"5,478.55"
392,18/11/2017,22/11/2017,1006,708,"9,156.33"
393,19/11/2017,21/11/2017,1011,704,"3,687.00"
394,19/11/2017,22/11/2017,1001,702,130.97
395,20/11/2017,24/11/2017,1014,703,"3,079.75"
396,20/11/2017,21/11/2017,1019,706,495.78
397,20/11/2017,20/11/2017,1020,701,500.00
398,21/11/2017,23/11/2017,1004,708,"14,283.00"
399,21/11/2017,24/11/2017,1007,704,"18,260.95"
400,21/11/2017,25/11/2017,1026,705,"7,251.75"
401,21/11/2017,22/11/2017,1003,702,"1,014.90"
402,21/11/2017,23/11/2017,1017,704,"2,779.00"
403,21/11/2017,21/11/2017,1006,702,"19,676.05"
404,21/11/2017,22/11/2017,1019,708,"8,730.00"
405,21/11/2017,24/11/2017,1023,702,"6,988.65"
406,22/11/2017,26/11/2017,1012,706,"7,209.60"
407,23/11/2017,26/11/2017,1001,701,188.68
408,24/11/2017,28/11/2017,1001,703,261.90
409,24/11/2017,25/11/2017,1024,704,"5,956.00"
410,24/11/2017,25/11/2017,1008,702,"2,698.00"
411,25/11/2017,26/11/2017,1002,708,"6,984.00"
412,25/11/2017,28/11/2017,1026,708,"1,178.58"
413,25/11/2017,26/11/2017,1001,708,402.00
414,25/11/2017,29/11/2017,1020,703,"16,345.65"
415,25/11/2017,28/11/2017,1013,705,"4,851.30"
416,25/11/2017,26/11/2017,1024,705,"4,618.33"
417,25/11/2017,28/11/2017,1017,703,166.00
418,25/11/2017,25/11/2017,1012,705,"2,443.08"
419,26/11/2017,26/11/2017,1006,708,"8,002.50"
420,26/11/2017,26/11/2017,1024,704,"3,505.50"
421,26/11/2017,29/11/2017,1022,704,441.75
422,26/11/2017,27/11/2017,1027,707,"5,901.00"
423,26/11/2017,30/11/2017,1010,708,"2,010.02"
424,26/11/2017,28/11/2017,1025,706,39.00
425,27/11/2017,01/12/2017,1001,707,286.00
426,27/11/2017,30/11/2017,1001,707,"1,294.00"
427,27/11/2017,30/11/2017,1020,702,767.80
428,27/11/2017,28/11/2017,1024,703,"2,340.35"
429,27/11/2017,30/11/2017,1016,701,567.00
430,27/11/2017,01/12/2017,1009,707,102.00
431,28/11/2017,01/12/2017,1016,705,"2,344.25"
432,28/11/2017,01/12/2017,1022,702,"1,204.12"
433,28/11/2017,28/11/2017,1017,708,"10,291.25"
434,28/11/2017,30/11/2017,1012,703,"9,343.79"
435,28/11/2017,30/11/2017,1016,706,47.00
436,28/11/2017,01/12/2017,1014,703,180.20
437,28/11/2017,30/11/2017,1002,705,"5,832.95"
438,28/11/2017,02/12/2017,1020,708,"1,026.40"
439,29/11/2017,03/12/2017,1025,703,"6,457.00"
440,29/11/2017,30/11/2017,1027,708,"1,695.00"
441,29/11/2017,29/11/2017,1010,701,"19,325.05"
442,29/11/2017,02/12/2017,1002,705,662.00
443,30/11/2017,03/12/2017,1001,704,"2,123.95"
444,30/11/2017,01/12/2017,1002,706,"2,135.47"
445,30/11/2017,01/12/2017,1007,705,"12,313.00"
446,30/11/2017,04/12/2017,1010,708,87.98
447,30/11/2017,01/12/2017,1018,702,"6,020.94"
448,30/11/2017,02/12/2017,1001,701,301.90
449,30/11/2017,30/11/2017,1025,707,"16,673.05"
450,01/12/2017,05/12/2017,1004,705,"4,232.75"
451,01/12/2017,03/12/2017,1003,706,220.00
452,01/12/2017,03/12/2017,1001,702,"1,018.50"
453,01/12/2017,05/12/2017,1027,708,"1,854.50"
454,01/12/2017,03/12/2017,1010,703,"1,248.96"
455,01/12/2017,02/12/2017,1005,702,"1,705.78"
456,02/12/2017,03/12/2017,1015,705,375.00
457,02/12/2017,06/12/2017,1019,701,"2,811.00"
458,03/12/2017,03/12/2017,1003,702,654.95
459,03/12/2017,04/12/2017,1007,707,"1,682.62"
460,04/12/2017,06/12/2017,1013,704,"1,905.00"
461,04/12/2017,08/12/2017,1021,703,"2,852.86"
462,04/12/2017,04/12/2017,1004,705,254.25
463,05/12/2017,08/12/2017,1015,705,477.24
464,05/12/2017,08/12/2017,1020,705,"5,346.00"
465,05/12/2017,05/12/2017,1012,706,"10,361.04"
466,06/12/2017,07/12/2017,1026,704,"6,257.99"
467,06/12/2017,06/12/2017,1013,706,"9,826.00"
468,06/12/2017,07/12/2017,1010,708,"6,546.06"
469,06/12/2017,06/12/2017,1011,708,"8,792.99"
470,06/12/2017,09/12/2017,1014,703,709.32
471,06/12/2017,08/12/2017,1025,701,130.95
472,06/12/2017,10/12/2017,1023,707,"7,648.00"
473,06/12/2017,09/12/2017,1016,702,"1,832.18"
474,06/12/2017,09/12/2017,1006,703,842.12
475,07/12/2017,11/12/2017,1001,702,"1,109.45"
476,07/12/2017,11/12/2017,1014,705,"1,201.00"
477,07/12/2017,07/12/2017,1009,708,"6,594.19"
478,07/12/2017,11/12/2017,1004,707,"1,352.50"
479,07/12/2017,10/12/2017,1024,705,"7,708.00"
480,07/12/2017,07/12/2017,1011,703,"4,265.00"
481,08/12/2017,11/12/2017,1009,702,637.96
482,08/12/2017,08/12/2017,1011,705,207.00
483,08/12/2017,09/12/2017,1005,704,"4,814.70"
484,09/12/2017,10/12/2017,1021,707,0.00
485,09/12/2017,11/12/2017,1003,707,"2,107.74"
486,09/12/2017,10/12/2017,1022,705,956.00
487,09/12/2017,11/12/2017,1009,704,"3,241.00"
488,09/12/2017,11/12/2017,1025,703,171.00
489,09/12/2017,09/12/2017,1005,701,710.30
490,09/12/2017,11/12/2017,1009,702,"2,781.90"
491,09/12/2017,10/12/2017,1007,708,"5,643.35"
492,10/12/2017,12/12/2017,1008,702,"3,035.62"
493,10/12/2017,14/12/2017,1005,708,"3,861.90"
494,10/12/2017,14/12/2017,1012,701,108.00
495,10/12/2017,11/12/2017,1012,702,"6,843.49"
496,11/12/2017,11/12/2017,1014,701,"1,949.85"
497,11/12/2017,12/12/2017,1002,701,"1,882.55"
498,11/12/2017,13/12/2017,1018,708,"7,862.98"
499,11/12/2017,15/12/2017,1016,704,"16,909.14"
500,11/12/2017,11/12/2017,1007,705,"3,037.00"
501,12/12/2017,15/12/2017,1001,702,548.95
502,12/12/2017,15/12/2017,1025,707,"10,964.75"
503,12/12/2017,14/12/2017,1026,706,"3,638.05"
504,12/12/2017,15/12/2017,1004,707,189.00
505,12/12/2017,16/12/2017,1006,707,"7,268.98"
506,12/12/2017,14/12/2017,1016,704,"6,195.00"
507,12/12/2017,12/12/2017,1017,705,"1,252.71"
508,12/12/2017,15/12/2017,1012,704,"16,688.85"
509,13/12/2017,14/12/2017,1010,701,"6,058.15"
510,13/12/2017,14/12/2017,1015,703,973.90
511,13/12/2017,13/12/2017,1026,706,"9,576.65"
512,13/12/2017,15/12/2017,1027,708,291.00
513,13/12/2017,16/12/2017,1012,707,"9,682.48"
514,13/12/2017,15/12/2017,1025,705,"8,441.25"
515,13/12/2017,16/12/2017,1003,705,"1,191.00"
516,13/12/2017,17/12/2017,1021,703,"3,845.58"
517,14/12/2017,16/12/2017,1007,706,"1,210.41"
518,14/12/2017,15/12/2017,1007,704,194.05
519,14/12/2017,16/12/2017,1018,701,424.33
520,14/12/2017,18/12/2017,1027,704,"2,949.88"
521,14/12/2017,18/12/2017,1009,708,"2,466.00"
522,14/12/2017,18/12/2017,1009,708,4.99
523,15/12/2017,17/12/2017,1003,704,0.00
524,16/12/2017,20/12/2017,1002,701,136.00
525,16/12/2017,19/12/2017,1019,705,560.04
526,16/12/2017,19/12/2017,1011,705,228.05
527,16/12/2017,20/12/2017,1009,707,49.00
528,17/12/2017,18/12/2017,1026,701,"5,646.00"
529,17/12/2017,19/12/2017,1013,703,"7,951.30"
530,17/12/2017,19/12/2017,1009,701,"14,227.36"
531,17/12/2017,17/12/2017,1012,707,"5,428.30"
532,18/12/2017,19/12/2017,1027,706,"7,190.05"
533,18/12/2017,21/12/2017,1017,702,"15,235.23"
534,18/12/2017,18/12/2017,1017,706,570.90
535,18/12/2017,19/12/2017,1020,703,"6,234.63"
536,18/12/2017,21/12/2017,1020,702,"1,719.87"
537,18/12/2017,21/12/2017,1003,703,"1,004.05"
538,19/12/2017,20/12/2017,1008,703,"9,710.88"
539,20/12/2017,24/12/2017,1008,701,"9,069.75"
540,20/12/2017,24/12/2017,1007,707,"7,422.50"
541,21/12/2017,23/12/2017,1006,701,"17,369.98"
542,22/12/2017,25/12/2017,1008,704,"3,897.90"
543,22/12/2017,25/12/2017,1005,707,334.65
544,22/12/2017,22/12/2017,1009,704,"7,996.25"
545,22/12/2017,26/12/2017,1010,707,"10,489.65"
546,22/12/2017,22/12/2017,1013,702,407.25
547,22/12/2017,22/12/2017,1011,708,"2,271.25"
548,22/12/2017,24/12/2017,1004,707,"6,109.40"
549,22/12/2017,22/12/2017,1024,703,140.65
550,23/12/2017,25/12/2017,1003,706,797.00
551,24/12/2017,28/12/2017,1010,705,"1,696.03"
552,24/12/2017,27/12/2017,1023,705,"17,551.20"
553,24/12/2017,28/12/2017,1002,705,"6,317.00"
554,24/12/2017,25/12/2017,1002,701,"6,872.20"
555,24/12/2017,27/12/2017,1003,703,"1,658.25"
556,24/12/2017,28/12/2017,1019,701,"6,504.03"
557,24/12/2017,24/12/2017,1026,702,"8,430.09"
558,25/12/2017,26/12/2017,1009,708,"10,842.85"
559,25/12/2017,27/12/2017,1011,706,"5,559.78"
560,25/12/2017,29/12/2017,1016,707,"6,769.96"
561,25/12/2017,28/12/2017,1025,704,"3,600.00"
562,25/12/2017,28/12/2017,1006,705,147.00
563,25/12/2017,26/12/2017,1020,704,"4,783.50"
564,25/12/2017,27/12/2017,1001,706,214.00
565,26/12/2017,28/12/2017,1014,705,"2,429.00"
566,26/12/2017,27/12/2017,1007,706,985.21
567,26/12/2017,28/12/2017,1001,703,882.50
568,26/12/2017,27/12/2017,1024,704,197.88
569,26/12/2017,28/12/2017,1004,707,"6,354.50"
570,26/12/2017,30/12/2017,1022,707,742.19
571,27/12/2017,30/01/2018,1019,704,"2,423.80"
572,27/12/2017,27/12/2017,1003,703,"1,397.36"
573,27/12/2017,29/12/2017,1019,701,"10,102.95"
574,27/12/2017,27/12/2017,1003,704,160.05
575,27/12/2017,31/12/2017,1027,707,"12,368.54"
576,28/12/2017,28/12/2017,1005,705,56.00
577,28/12/2017,28/12/2017,1014,706,678.25
578,28/12/2017,29/12/2017,1026,708,"1,861.62"
579,28/12/2017,01/01/2018,1012,707,"15,391.00"
580,28/12/2017,28/12/2017,1011,705,"1,112.50"
581,29/12/2017,29/12/2017,1003,704,"1,268.98"
582,29/12/2017,01/01/2018,1004,703,"3,727.95"
583,29/12/2017,29/12/2017,1003,702,"1,345.22"
584,30/12/2017,01/01/2018,1004,707,"5,508.48"
585,30/12/2017,30/12/2017,1009,704,"1,865.04"
586,30/12/2017,31/12/2017,1023,707,"1,270.00"
587,30/12/2017,03/01/2018,1001,701,264.00
588,30/12/2017,30/12/2017,1003,701,"1,271.13"
589,30/12/2017,30/12/2017,1013,708,"1,169.82"
590,30/12/2017,03/01/2018,1018,708,"16,509.10"
591,31/12/2017,03/01/2018,1023,702,"2,991.50"
592,31/12/2017,02/01/2018,1005,707,"14,408.50"
593,31/12/2017,03/01/2018,1026,701,270.00
594,31/12/2017,31/12/2017,1017,706,"6,142.35"
